-1	-996	10440	8720	154	30	58	1
-1	-1020	10420	8840	275	22	89	1
-1	-980	10420	8904	180	13	93	1
-1	-904	10380	8812	322	-22	75	1
-1	-920	10400	8844	219	-12	41	1
-1	-968	10400	9000	286	-29	45	1
-1	-1000	10368	8660	338	7	80	1
-1	-1032	10512	8644	304	14	96	1
-1	-904	10460	8932	284	38	91	1
-1	-988	10448	8888	251	37	20	1
-1	-936	10488	8892	255	53	45	1
-1	-928	10444	8648	404	35	84	1
-1	-928	10544	8804	277	33	23	1
-1	-988	10372	8840	78	74	86	1
-1	-1004	10512	8852	248	47	77	1
-1	-1052	10500	8760	239	41	33	1
-1	-1012	10364	8804	190	77	8	1
-1	-956	10532	8972	657	263	-154	1
-1	-1016	10492	8548	169	356	62	1
-1	-1092	10532	8876	238	597	-152	1
-1	-1096	10312	8796	44	655	-532	1
-1	-2072	9784	8448	-263	624	-575	1
-1	-1876	10420	8448	-230	1416	-678	1
-1	-1196	10360	8948	-81	1922	-589	1
-1	-1204	10136	9004	722	2137	-851	1
-1	-1956	10588	9220	319	2610	-837	1
-1	-2088	9880	8768	-1911	2766	-521	1
-1	-2132	9440	7916	-9	3047	-1471	1
-1	-3008	9968	8884	2459	3050	-2286	1
-1	-3184	11548	7776	1810	4161	-2017	1
-1	-3816	7960	9628	705	4341	-2103	1
-1	-3728	10516	8752	4395	2817	-1765	1
-1	-4608	11112	7088	3586	4038	-1852	1
-1	-4876	11316	7328	-266	4843	-726	1
-1	-4168	10808	7040	-1315	5474	148	1
-1	-4412	8600	7052	-2744	5444	-249	1
-1	-5364	9936	7560	2423	4081	-1048	1
-1	-5300	9512	5736	5331	4441	-733	1
-1	-6196	11568	6240	3989	4343	-755	1
-1	-7704	10676	4496	2941	5117	-166	1
-1	-8232	11476	4316	1788	6646	-235	1
-1	-9708	12004	3772	2822	7067	930	1
-1	-8832	11904	2976	1655	8726	657	1
-1	-10172	10932	4140	-343	8627	-312	1
-1	-8368	8916	3060	4323	7075	-1175	1
-1	-7116	12864	2228	2143	6352	-744	1
-1	-9776	11420	2668	3555	5484	-12	1
-1	-10200	11332	748	5255	4068	-465	1
-1	-10648	11460	468	4574	2712	-876	1
-1	-10560	11828	-1460	5281	1535	-1084	1
-1	-10364	11932	-432	3702	482	-643	1
-1	-10376	12096	-1988	2340	-2281	-511	1
-1	-11136	12144	-2628	6962	-3973	-1112	1
-1	-10432	11096	-2596	5521	-5171	-1710	1
-1	-11276	11576	-604	4973	-6121	-2941	1
-1	-10516	10812	-1600	7462	-4432	-3414	1
-1	-12168	10664	336	2449	-3161	-4015	1
-1	-10968	8264	-832	6462	-3607	-4409	1
-1	-11932	9004	-1440	5307	-3917	-5484	1
-1	-11604	10544	-4320	9235	-403	-5388	1
-1	-14348	12884	-3512	1232	1991	-5070	1
-1	-12552	10724	-3796	-758	3636	-4284	1
-1	-12132	9308	-2628	-2478	3660	-4932	1
-1	-15060	8388	-2488	517	2798	-6171	1
-1	-13240	9084	-2860	1460	2278	-7186	1
-1	-14456	8284	-2576	-1294	3465	-7931	1
-1	-15980	8144	-1876	-1741	2216	-6885	1
-1	-15080	6684	-3164	-992	-372	-5932	1
-1	-14816	5864	-2876	-2331	-416	-4345	1
-1	-14340	5788	-2628	-1587	-1262	-2190	1
-1	-14424	4912	-2812	-3395	-1699	-507	1
-1	-13860	4624	-2756	-1571	-2616	680	1
-1	-13736	4808	-3072	81	-2634	1246	1
-1	-13420	5212	-2736	-1814	-1628	1246	1
-1	-12008	4084	-2088	-2107	-1750	2036	1
-1	-12860	3756	-1872	-2269	-795	1869	1
-1	-13396	3764	-1992	2	-1549	1319	1
-1	-12812	3928	-1532	87	-932	971	1
-1	-13368	3760	-1144	-151	-148	271	1
-1	-14388	4252	-1504	664	20	-477	1
-1	-14244	4148	-952	1777	-288	-605	1
-1	-13056	4672	-1856	5746	-1560	336	1
-1	-13372	5608	-1180	5998	-714	825	1
-1	-15248	7716	-1044	6599	592	-661	1
-1	-13348	7404	-1536	9728	-2017	336	1
-1	-13684	7224	-1512	6372	902	1663	1
-1	-15280	7016	-1780	4316	167	1628	1
-1	-13852	6772	-1976	3216	611	1882	1
-1	-12852	6992	-1568	2882	-131	1138	1
-1	-13720	7544	-2540	748	141	-670	1
-1	-15040	9708	-2672	-5127	733	-3475	1
-1	-18084	2780	-4240	-5712	-129	-1977	1
-1	-14492	6920	-2848	1448	-3487	-1617	1
-1	-13572	7176	-3004	-2450	-954	-867	1
-1	-14580	5904	-3244	-2402	-1002	-1643	1
-1	-14908	5736	-3652	2384	-2763	-2590	1
-1	-14584	6284	-3708	5505	-2797	-2532	1
-1	-13416	5720	-3420	9039	-2968	-2043	1
-1	-12092	7816	-2236	6755	-636	-1152	1
-1	-14288	5772	-2520	4164	1084	-562	1
-1	-13876	7212	-1528	4916	442	-428	1
-1	-15484	5340	204	5072	-1115	2178	1
-1	-13744	6504	-484	7364	-3928	3745	1
-1	-13608	6900	204	-189	-1233	3902	1
-1	-13048	5908	-148	-4776	-952	1938	1
-1	-14344	5184	-1240	-2877	-235	-348	1
-1	-14000	6608	-2068	-3780	1166	-1188	1
-1	-14812	5840	-1668	-10004	3613	-898	1
-1	-14008	5408	-2596	-7400	3000	60	1
-1	-14440	5516	-1976	-7565	3720	242	1
